Project_Title,NIH_Spending_Categorization,Public_Health_Relevance,Administering_IC,Project_Number,Type,Activity,IC,Support_Year,Suffix,Project_Start_Date,Project_End_Date,Study_Section,Subproject_Number,Name,Other_PI_or_Project_Leaders,Congressional_District,Primary_Institute,Instition_Paid,Province,Organization_Type,ARRA_Indicator,Funding_Start_Date,Budget_End_Date,Post_Award_Action_Type,CFDA_Code,Funding_Mechanism,Fiscal_Year,Total_Cost,Total_Cost_Sub_Projects,Funding_IC,Direct_Cost_IC,Indirect_Cost_IC,NIH_COVID_19_Response,Total_Cost_IC,title_keywords,patents,companies,companies_count
Data Detectives: Using Real Data to Solve Real Community Health Problems,Behavioral and Social Science; Clinical Research; Data Science; Health Disparities; Minority Health; Networking and Information Technology R&D (NITRD); Pediatric; Rural Health; Social Determinants of Health,"Narrative
The workforce in data science and STEM continues to lack representation by key groups: women,
minorities, and those from rural and lower socio-economic backgrounds. This novel, experiential
problem-based learning approach uses population-based Big Data to engage diverse middle
school students to apply real data to solve real community health problems. The goal of the Data
Detectives SEPA program is to promote greater diversity in the future science and STEM
workforce through an informal science education curriculum focused on data sciences and
application to community health issues.",NIGMS,1R25GM146271-01,1,R25,GM,1,,2022-09-01,2027-07-31,Special Emphasis Panel[ZRG1 CB-H (55)],,"GILLESPIE, THERESA W","MARCUS, ADAM I.",5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2022-09-01,2025-07-31,,859.0,Other Research-Related,2022,1604336.0,,NIGMS,125000.0,10000.0,,135000.0,"Data, Community Health, Real Data",0,0,0
Leveraging the epigenome of inflammatory bowel disease to gain mechanistic insights into disease pathophysiology”,Autoimmune Disease; Clinical Research; Crohn's Disease; Digestive Diseases; Genetics; Human Genome; Inflammatory Bowel Disease,"Contact PD/PI: Kugathasan, Subra
PROJECT NARRATIVE
Site-specific DNA methylation changes are reported to be associated with ulcerative colitis (UC), a relapsing-
remitting inflammatory disease with a very heterogeneous clinical course resulting in differential disease
outcomes. However, due to the dynamic nature of UC disease behavior and DNA methylation, delineating the
causal role of methylation in UC is difficult given the cross-sectional nature of most studies. Herein, we propose
to use a longitudinal framework e to understand how the methylome changes during the course of the disease,
as a result of varying clinical characteristics, and how disease subgroups evolve e and supplement it with genetic
and molecular data to identify potentially causal epigenetic targets which could subsequently be leveraged for
therapeutic benefits.",NIDDK,1R21DK119997-01A1,1,R21,DK,1,A1,2019-09-17,2021-08-31,Special Emphasis Panel[ZDK1 GRB-7 (O4)],,"KUGATHASAN, SUBRA ",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2019-09-17,2020-08-31,,847.0,Non-SBIR/STTR,2019,230618.0,,NIDDK,150000.0,80618.0,,230618.0,"epigenome, inflammatory bowel disease, pathophysiology",0,0,0
Noncarbohydrate Approaches to AntiAIDS Nuleosides,Chronic Liver Disease and Cirrhosis; Digestive Diseases; Emerging Infectious Diseases; HIV/AIDS; Hepatitis; Hepatitis - C; Infectious Diseases; Liver Disease,n/a,NIAID,5R37AI028731-21,5,R37,AI,21,,1989-07-01,2012-04-30,NSS,,"LIOTTA, DENNIS C",Not Applicable,5,CHEMISTRY,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2010-05-01,2011-04-30,,855.0,Non-SBIR/STTR,2010,340977.0,,NIAID,222861.0,118116.0,,340977.0,"Noncarbohydrate, AntiAIDS, Nucleosides",1,"The University Of Georgia Research Foundation, Inc.",1
"Novel methods for research on young rural opioid users at risk of HIV, HCV & OD",Behavioral and Social Science; Clinical Research; Digestive Diseases; Drug Abuse (NIDA only); Emerging Infectious Diseases; HIV/AIDS; Hepatitis; Hepatitis - C; Infectious Diseases; Injury (total) Accidents/Adverse Effects; Liver Disease; Rural Health; Substance Abuse,"Narrative: Epicenters of non-medical opioid (NMPO) use, heroin use, and related harms (i.e., HIV, hepatitis C,
overdoses) in the US are shifting from cities to rural areas; rural young adults are bearing the brunt of these
epidemiologic transitions. The proposed mixed-methods R21 study will lay the foundations for a new
generation of high-impact multilevel research and interventions into how risk environments influence NMPO
and heroin use; injecting transitions; and HIV, hepatitis C, and overdose risk among young adults in multiple
US rural counties.",NIDA,1R21DA042727-01,1,R21,DA,1,,2016-07-01,2019-06-30,Behavioral and Social Science Approaches to Preventing HIV/AIDS Study Section[BSPH],,"COOPER, HANNAH LF","YOUNG, APRIL MARIE",5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2016-07-01,2019-06-30,,279.0,Non-SBIR/STTR,2016,437179.0,,NIDA,182718.0,61719.0,,244437.0,"opioid, HIV, HCV",0,0,0
Resource competition drives natural and rebound dynamics of snails and schistosomes,Infectious Diseases; Vector-Borne Diseases,"Project Narrative
 Currently, more than 250 million humans worldwide are infected with schistosomes,
flatworms in the genus Schistosoma, and approximately 20 million humans suffer from severe
morbidity due to schistosomiasis. Humans become infected after exposure to larval parasites
(cercariae) that are produced by infected snails in freshwater habitats. This project proposes
and evaluates novel ecological hypotheses that could improve the prediction and control of a
parasite causing major global health burden.",NIAID,1R01AI150774-01,1,R01,AI,1,,2020-03-16,2026-02-28,Vector Biology Study Section[VB],,"CIVITELLO, DAVID JAMES",Not Applicable,5,BIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2020-03-16,2025-02-28,,855.0,Non-SBIR/STTR,2020,1462795.0,,NIAID,262000.0,76720.0,,338720.0,"resource, snails, schistosomes",0,0,0
Transcriptional regulation of behavioral adaptation in Drosophila,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Drug Abuse (NIDA only); Genetics; Neurosciences; Substance Abuse,"
The proposed project aims to study cellular signaling and transcriptional
mechanisms by which adaptive changes in the brain are brought about.
Specifically, we aim to study the role of a transcription factor, NFAT in directing
the ability of neurons to change in response to stimuli. Knowledge gained from
this study will help us identify genetic and molecular pathways by which
persistent alterations in neuronal circuits arise during learning, drug addiction and
other neurological disorders.",NIDA,1R03DA027979-01,1,R03,DA,1,,2009-08-15,2012-05-31,Special Emphasis Panel[ZRG1 IFCN-L (50)],,"SANYAL, SUBHABRATA ",Not Applicable,5,ANATOMY/CELL BIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2009-08-15,2012-05-31,,279.0,Non-SBIR/STTR,2009,77113.0,,NIDA,25000.0,13750.0,,38750.0,"Transcriptional, regulation, Drosophila",0,0,0
"Urban Water Systems, Enteric Pathogen Distribution & Gut Microbiome Development in Children: A Natural Experiment in Mozambique",Biodefense; Clinical Research; Clinical Trials and Supportive Activities; Digestive Diseases; Emerging Infectious Diseases; Foodborne Illness; Infectious Diseases; Pediatric; Prevention,"PROJECT NARRATIVE: We will study a major World Bank-funded project in four urban areas of Mozambique
to test if and how improvements in water supply reduce or delay enteric pathogen infection, and impact
associated acute and chronic gastrointestinal-related disorders. This will be the largest water system
improvement to be evaluated using an experimental design, and is the first randomized control trial to examine
municipal water system improvements on these health outcomes. Results will contribute novel findings to the
growing literature on environmental exposures, pathogen infection, environmental enteric dysfunction, and the
gut microbiome of young children, and contribute essential information to policy-makers on how to optimize
investments to improve child health in low-income, urban settings.",NIAID,1R01AI130163-01A1,1,R01,AI,1,A1,2018-01-16,2024-12-31,"Infectious Diseases, Reproductive Health, Asthma and Pulmonary Conditions Study Section[IRAP]",,"LEVY, KAREN ",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2018-01-16,2024-12-31,,855.0,Non-SBIR/STTR,2018,3682086.0,,NIAID,508700.0,281211.0,,789911.0,"Water, Pathogen, Microbiome",0,0,0
Administrative Core and Data Management Center,Biodefense; Clinical Research; Emerging Infectious Diseases; HIV/AIDS; Immunization; Infectious Diseases; Prevention; Rare Diseases; Tuberculosis; Vaccine Related,"Tuberculosis (TB) is an enormous global public health problem but the mechanisms associated with control 
of TB infection or progression to active TB are poorly understood. The Administrative Core of this TBRU 
application will be responsible for managing, coordinating, and supervising all TBRU activities that are 
focused on enhancing our understanding of the immunology of latent TB infection and control of TB.",NIAID,5U19AI111211-07,5,U19,AI,7,,2014-08-11,2022-07-31,ZAI1-LG-M,7785.0,"BLUMBERG, HENRY M",Not Applicable,5,Unavailable,EMORY UNIVERSITY,GA,Domestic Higher Education,N,2020-08-01,2022-07-31,,,Non-SBIR/STTR,2020,,1398149.0,,1176705.0,221444.0,,,"Administrative, Data Management, Center",0,0,0
Georgia CTSA Research Supplement to Promote Diversity in Health-Related Research (Hernandez),Behavioral and Social Science; Cancer; Cervical Cancer; Clinical Research; Prevention; Rural Health,"Program Director/Principal Investigator (Last, First, Middle): Taylor, W. Robert
Public Health Relevance
This diversity supplement will expand the Georgia CTSA's access to an immigrant Latino population and
creates opportunities to increase the Georgia CTSA's portfolio of research and interventions for
disproportionally affected communities. This supplement will also assist in developing the independent
research career of Natalie D. Hernandez, PhD, MPH with mentorship and training to perform clinical and
translational research while also increasing the knowledge on the causes and interventions that can help
reduce cervical cancer health disparities.
OMB No. 0925-0001/0002 (Rev. 01/18 Approved Through 03/31/2020) Page Continuation Format Page",NCATS,3UL1TR002378-02S3,3,UL1,TR,2,S3,2019-04-24,2021-06-30,,,"TAYLOR, WILLIAM ROBERT","BLUMBERG, HENRY M;OFILI, ELIZABETH O.",5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2019-04-24,2019-06-30,,350.0,Research Centers,2019,34631.0,,NCATS,34631.0,,,34631.0,"CTSA, Diversity, Health",0,0,0
LPA receptor signaling in colonic epithelia,Cancer; Colo-Rectal Cancer; Digestive Diseases,n/a,NIDDK,5R01DK071597-04,5,R01,DK,4,,2007-02-15,2012-04-14,Clinical and Integrative Gastrointestinal Pathobiology Study Section[CIGP],,"YUN, CHANGHYON CHRIS",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-02-01,2012-04-14,,847.0,Non-SBIR/STTR,2010,704565.0,,NIDDK,198891.0,105412.0,,304303.0,"LPA, receptor, signaling",0,0,0
Market Research to Predict Emerging Tobacco Product Use in Diverse Young Adults,No NIH Category available," The current proposal primarily focuses on two main research priorities established by the FDA, specifically to increase understanding of: 1) the impact of tobacco product marketing on use behaviors, perception, attitudes, and beliefs; and 2) how to effectively convey information regarding risks of tobacco product use and regulation of tobacco products. This study will examine whether psychographic profiles of market segments predict traditional and alternative tobacco product use and may elucidate valuable targets for health messaging to impact attitudes regarding these products among high-risk segments. Future research will aim to develop and test messages to promote tobacco use prevention and cessation among high-risk young adults and address other vulnerable populations using this approach.   
   
      

",NCI,1R01CA179422-01,1,R01,CA,1,,2013-09-19,2019-08-31,Special Emphasis Panel[ZRG1 HDM-Q (54)],,"BERG, CARLA J",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2013-09-19,2019-08-31,,77.0,Non-SBIR/STTR,2013,2695488.0,,OD,447916.0,133292.0,,581208.0,"Market research, tobacco product, young adults",0,0,0
Quantification of myocardial blood flow using Dynamic PET/CTA fused imagery to determine physiological significance of specific coronary lesions,Bioengineering; Biomedical Imaging; Cardiovascular; Clinical Research; Heart Disease; Heart Disease - Coronary Heart Disease,"Project Narrative
 The aim of this work is to develop software tools to fuse coronary anatomy data obtained from CT coronary
angiography with dynamic PET data (combination of anatomic and physiologic information) to noninvasively
measure absolute myocardial blood flow, flow reserve and relative flow reserve across specific coronary
lesions. These tools should reduce or eliminate unnecessary catheterizations and stenting and thus reduce
patient risk, lower radiation exposure, and reduce the healthcare costs associated with unnecessary costly
invasive treatments.",NHLBI,1R01HL143350-01,1,R01,HL,1,,2018-08-15,2023-06-30,Medical Imaging Study Section[MEDI],,"GARCIA, ERNEST V",Not Applicable,5,RADIATION-DIAGNOSTIC/ONCOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2018-08-15,2023-06-30,,837.0,Non-SBIR/STTR,2018,2424044.0,,NHLBI,442618.0,201177.0,,643795.0,"myocardial blood flow, PET/CTA, coronary lesions",0,0,0
Advancing primate models of human auditory cognitive control,Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; Neurosciences,"Narrative
The proposed research is relevant to public health because it develops better primate models of
auditory cognitive processes critical for language in humans. By identifying shared components
of auditory working memory, attentional control, and strategic decision-making in primates and
humans, this work will enable researchers to use primates in basic and interventional studies.
Thus, the proposed research is relevant to the part of the NIDCDes mission that pertains to
biomedical research on processing of speech and language.",NIDCD,1R01DC020749-01,1,R01,DC,1,,2023-01-01,2027-12-31,Human Complex Mental Function Study Section[HCMF],,"HAMPTON, ROBERT R",Not Applicable,5,PSYCHOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2023-01-01,2024-12-31,,173.0,Non-SBIR/STTR,2023,902388.0,,NIDCD,250000.0,201375.0,,451375.0,"primates, auditory, cognitive",0,0,0
Determining the importance of temporal regulation of the blood-brain barrier,Basic Behavioral and Social Science; Behavioral and Social Science; Cerebrovascular; Health Disparities; Minority Health; Neurosciences; Sleep Research,"Project Narrative
Circadian rhythms are ubiquitous, endogenous timekeepers that optimize many biological functions to
the advantage of the organism; prolonged disruption of rhythms results in deleterious health
consequences. The role of the circadian clock in tissue-specific biological functions, such as that of the
blood-brain barrier (BBB), is poorly understood. The goal of this study is to understand the relevance of
the circadian clock of the BBB in acting as a temporal gate for molecular events and animal behavior.",NHLBI,3R00HL147212-05S1,3,R00,HL,5,S1,2021-09-01,2024-08-31,NSS,,"ZHANG, SHIRLEY ",Not Applicable,5,ANATOMY/CELL BIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2022-09-01,2024-08-31,,233.0,Non-SBIR/STTR,2022,832619.0,,NHLBI,45473.0,25692.0,,71165.0,"blood-brain barrier, temporal regulation",0,0,0
Genetic analysis to determine the functional role of GRID1,Genetics; Neurosciences,"Narrative
Glutamate receptors mediate communication between neurons and thus play important roles in normal brain
functions and a wide range of neurological diseases. Glutamate receptors include three well-known classes of
synaptic receptors (NMDA, kainate, and AMPA), as well as an enigmatic class (delta receptors encoded by
GRID1 and GRID2) that is poorly understood in that it is unclear whether it signals as an ion channel, a
metabotropic receptor, or serves as a binding scaffold for other proteins. We will use population genetics and
functional analysis of variants to explore the GRID1 gene to obtain new insight into its physiological role(s) in
the brain.
1",NCATS,1R03TR003380-01A1,1,R03,TR,1,A1,2021-04-05,2022-04-04,Special Emphasis Panel[ZRG1 BCMB-G (55)],,"TRAYNELIS, STEPHEN F",Not Applicable,5,PHARMACOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2021-04-05,2022-04-04,,310.0,Non-SBIR/STTR,2021,156000.0,,OD,100000.0,56000.0,,156000.0,"Genetic analysis, GRID1",0,0,0
Improving Influenza Vaccine Uptake in Acute Care Settings,No NIH Category available,"Project Narrative
Hospitalized children are at high risk for influenza-related complications but have low influenza vaccine
coverage rates. Through user-centered design and implementation science methods, we are developing and
evaluating clinical decision support to promote influenza vaccine uptake and related health maintenance
interventions in pediatric acute care settings.",AHRQ,1R03HS027689-01,1,R03,HS,1,,2020-08-01,2023-07-31,Healthcare Information Technology Research[HITR],,"ORENSTEIN, EVAN WILLIAM",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2020-08-01,2023-07-31,,226.0,Non-SBIR/STTR,2020,97037.0,,AHRQ,56019.0,15797.0,,71816.0,"Influenza, Vaccine, Acute Care",0,0,0
Maternal stress and obesity alter milk immunobiology and impair infant growth,Basic Behavioral and Social Science; Behavioral and Social Science; Infant Mortality/ (LBW); Mental Health; Mind and Body; Nutrition; Obesity; Pediatric; Prevention,"PUBLIC HEALTH RELEVANCE: Findings from this study will show how stress and obesity influence the immune and hormonal constituents of mother's own milk and subsequent infant growth. In addition, for mothers who are unable to breastfeed, a greater understanding of milk's bioactive factors may help improve the development of human milk substitutes in relation to infant health.   
   
      

",NICHD,1R21HD079969-01,1,R21,HD,1,,2014-04-15,2017-12-31,"Biobehavioral Mechanisms of Emotion, Stress and Health Study Section[MESH]",,"ETHUN, KELLY F",Not Applicable,5,PATHOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2014-04-15,2017-12-31,,865.0,Non-SBIR/STTR,2014,485296.0,,NICHD,150000.0,117750.0,,267750.0,"maternal stress, obesity, immunobiology",0,0,0
Spike timing codes for motor control,Basic Behavioral and Social Science; Behavioral and Social Science; Bioengineering; Neurosciences; Physical Rehabilitation; Rehabilitation,"This research will use the songbird vocal control system to increase our understanding
of how the brain uses precisely timed electrical signals to control behavior. Such an
understanding can be used to improve the lives of patients suffering from motor
production disorders caused by neurological diseases or trauma.",NINDS,1R01NS099375-01A1,1,R01,NS,1,A1,2017-03-01,2023-02-28,Sensorimotor Integration Study Section[SMI],,"SOBER, SAMUEL ",Not Applicable,5,BIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2017-03-01,2023-02-28,,853.0,Non-SBIR/STTR,2017,1660500.0,,NINDS,226132.0,81855.0,,307987.0,"Spike timing, motor control",0,0,0
Testing a new strategy to reduce alcohol consumption by pH,"Alcoholism, Alcohol Use and Health; Behavioral and Social Science; Brain Disorders; Neurosciences; Substance Misuse","Narrative:
Despite the importance of pH for brain function, its role in alcohol reward and consumption is unknown. The
proposed research explores the possibility of reducing alcohol consumption by changing brain pH.",NIAAA,1R21AA028606-01A1,1,R21,AA,1,A1,2021-09-20,2024-08-31,Biomedical Research Study Section[AA-1],,"CHOI, INYEONG ",Not Applicable,5,ANATOMY/CELL BIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2021-09-20,2024-08-31,,273.0,Non-SBIR/STTR,2021,409673.0,,NIAAA,118750.0,66639.0,,185389.0,"alcohol, pH, reduction",0,0,0
Transfusion Induced BMT Rejection,Hematology; Immunization; Prevention; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation; Vaccine Related,"
When successful, bone marrow transplantation is a cure for a variety of diseases that involve a defect in blood
cell production, including: sickle cell anemia, idiopathic aplastic anemia, thalassemia major, Diamond-Blackfan
Anemia and Fanconi Anemia. However, several barriers prevent the implementation of bone marrow
transplantation as a cure in this population. The proposed studies investigate one of the main barriers to bone
marrow transplantation in an effort to understand and overcome the problems of bone marrow transplantation
in the above patient population. Thus, the proposed studies are relevant to the treatment/cure of a variety of
diseases involving blood cell production.",NHLBI,5R01HL092977-02,5,R01,HL,2,,2009-01-09,2013-12-31,"Transplantation, Tolerance, and Tumor Immunology Study Section[TTT]",,"ZIMRING, JAMES C.",Not Applicable,5,PATHOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-01-01,2011-12-31,,839.0,Non-SBIR/STTR,2010,775000.0,,NHLBI,250000.0,137500.0,,387500.0,"Transfusion, BMT, Rejection",0,0,0
Transscleral Drug Delivery for Retinal Disorders,Bioengineering; Biotechnology; Eye Disease and Disorders of Vision; Infectious Diseases; Nanotechnology; Neurosciences,n/a,NEI,5R24EY017045-05,5,R24,EY,5,,2006-08-01,2012-07-31,ZEY1-VSN(05),,"EDELHAUSER, HENRY FRANCIS",Not Applicable,5,OPHTHALMOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-08-01,2012-07-31,,867.0,Other Research-Related,2010,1401077.0,,NEI,1182498.0,218579.0,,1401077.0,"Transscleral, Drug Delivery, Retinal",0,0,0
A Smartphone Game to Increase Engagement in Care among African Adolescents Living with HIV,Behavioral and Social Science; Clinical Research; Clinical Trials and Supportive Activities; HIV/AIDS; Infectious Diseases; Mental Health; Pediatric; Prevention; Telehealth; Women's Health,"PROJECT NARRATIVE
Adolescents living with HIV in sub-Saharan Africa are a particularly vulnerable group with poorer health
outcomes than adults living with HIV. The proposed study will design, develop, and test in Kenya an interactive
smartphone game for adolescents living with HIV focused on increasing their adherence to antiretroviral therapy
and retention in HIV care and reducing their sexual risk, with a view to improving their health outcomes and
preventing HIV transmission. This intervention has the potential to be highly scalable, low cost, and culturally
adaptable to individual African countries; the study will also seek to advance the effective use of mobile devices
in global health through structured capacity strengthening activities.",NIMH,1R21MH124200-01A1,1,R21,MH,1,A1,2021-08-02,2026-07-31,Special Emphasis Panel[ZRG1 IMST-U (55)],,"WINSKELL, S KATE",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2021-08-02,2025-07-31,,242.0,Non-SBIR/STTR,2021,1314540.0,,NIMH,129750.0,64047.0,,193797.0,"Smartphone, Game, HIV",0,0,0
