Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords
"Naus, Christian C",University of British Columbia,British Columbia,Operating Grant,200909MOP,Cancer Progression & Therapeutics,Connexin regulation and glioma growth control,"$693,965 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,BRAIN TUMORS (INCL. RETINAL TUMORS); NEOPLASMS; CANCER; CELL BIOLOGY,4/1/2010,2015-03-31,0,"Connexin, glioma, regulation"
"St. Lawrence, Keith S",London Health Sciences Centre Res. Inc. (Ont.),Ontario,Operating Grant,200903MOP,Medical Physics & Imaging,Continuous monitoring of cerebral blood flow and metabolism in the critically ill newborn,"$215,912 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,"STROKE, HEART FAILURE; PERINATAL; IMAGING; BIOPHYSICS",10/1/2009,2012-09-30,0,"cerebral blood flow, metabolism, newborn"
"Haas, Kurt",University of British Columbia,British Columbia,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,"Contribution of genetic variation of ACE2, the receptor for SARS-CoV-2, to COVID-19 disease expression and development of therapeutics","$172,414 ", $-   , $-   ,,1 yr 0 mth ,Genetics,INFECTIOUS AND PARASITIC; MOLECULAR BIOLOGY,6/1/2020,2021-05-31,0,"ACE2, SARS-CoV-2, genetics"
"Waldman, Stephen D",Toronto Metropolitan University,Ontario,Project Grant,201809PJT,Biomedical Engineering,Controlling Glucose Metabolism to Develop Superior Tissue Engineered Cartilage,"$631,125 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Musculoskeletal Health-Bone, Skin and Cartilage Sciences",4/1/2019,2024-03-31,0,"Glucose, Metabolism, Cartilage"
"Ahmed, Shahid",University of Saskatchewan,Saskatchewan,Project Grant,201809PJT,Cancer Biology & Therapeutics 2,Conversion From Unresectable To Resectable Liver Metastases In Patients With Liver-Only Metastatic Colorectal Cancer Treated With FOLFOXIRI Plus Bevacizumab. The Conversion Trial.,"$100,000 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology,4/1/2019,2022-03-31,0,"liver metastases, colorectal cancer, FOLFOXIRI"
"Boucher, Marie-Josee",Universite de Sherbrooke,Quebec,Operating Grant - PA: Cancer Research (bridge funding),200909IC1,Cancer Progression & Therapeutics,Cooperation between the Notch and the kRas signaling pathways in pancreatic cancer progression.,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,GASTRO-INTESTINAL CANCER; GASTRO-INTESTINAL CANCER THERAPY; CANCER; GASTROINTESTINAL (LIVER),4/1/2010,2011-03-31,0,"Notch, kRas, pancreatic cancer"
"Di Noia, Javier M",Institut de recherches cliniques de Montreal,Quebec,Operating Grant,201303MOP,Cancer Biology & Therapeutics,"Coordinating DNA deamination, double strand break and repair to prevent genomic instability during antibody gene diversification.","$528,516 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,MULTIPLE DISEASE RELEVANCE; MOLECULAR BIOLOGY; CANCER,10/1/2013,2018-03-31,1,"DNA, deamination, repair"
"Bell, Brendan B",Universite de Sherbrooke,Quebec,Catalyst Grant: Innovation in HIV Vaccine and HIV Cure Research,201211CHR,HIV Vaccine and Cure Research,Core promoter-binding complexes as novel targets to cure HIV/AIDS,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,AIDS; VIRAL; VIROLOGY; MOLECULAR BIOLOGY,3/1/2013,2014-02-28,0,"core promoter, binding complexes, HIV/AIDS"
"Germain, Lucie",Universite Laval,Quebec,Operating Grant,200909MOP,Biomedical Engineering,Cornee reconstruite in vitro par genie tissulaire pour des applications experimentales et cliniques,"$860,972 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","DISEASES AFFECTING SPEECH/VISION/HEARING; INJURY, REGENERATION; CELL BIOLOGY; MOLECULAR BIOLOGY",4/1/2010,2015-03-31,0,"cornee, genie tissulaire, in vitro"
"Flamand, Louis",Universite Laval,Quebec,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,"COVID-19 trilogy: ARDS, inflammation and coagulopathy.","$226,625 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,VIRAL; VIROLOGY,6/1/2020,2021-05-31,0,"COVID-19, ARDS, coagulopathy"
"Kim, Paul Y",McMaster University,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,COVID-19: Comprehensive biomarker analysis for prediction of clinical course and patient treatment outcomes (COVID-BEACONS),"$1,173,325 ", $-   , $-   ,,1 yr 0 mth ,Circulatory and Respiratory Health,CLOTTING DEFECTS/THROMBOSIS; BLOOD; BIOCHEMISTRY,6/1/2020,2021-05-31,0,"COVID-19, biomarker, prediction"
"Elliott, Janet A",University of Alberta,Alberta,Project Grant,201903PJT,Biomedical Engineering,Cryobiology and Cryopreservation of Corneal Endothelial Monolayers,"$703,800 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",Biomedical Engineering-Regenerative Medicine and Tissue Engineering,10/1/2019,2024-09-30,0,"Cryobiology, Cryopreservation, Corneal Endothelial"
"Elliott, Janet A",University of Alberta,Alberta,Operating Grant,201110MOP,Biomedical Engineering,Cryobiology and Preservation of Cells and Tissues,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIDISCIPLINARY; MULTIPLE DISEASE RELEVANCE; NOT CLASSIFIED; BIOPHYSICS,4/1/2014,2019-03-31,0,"Cryobiology, Preservation, Cells"
"Elliott, Janet A",University of Alberta,Alberta,Operating Grant,201309MOP,Biomedical Engineering,Cryobiology and Preservation of Cells and Tissues,"$604,466 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIDISCIPLINARY; MULTIPLE DISEASE RELEVANCE; NOT CLASSIFIED; BIOPHYSICS,4/1/2014,2019-03-31,0,"Cryobiology, Preservation, Cells"
"Elliott, Janet A",University of Alberta,Alberta,Operating Grant - PA: INMHA (bridge funding),201209INO,Biomedical Engineering,Cryobiology and Preservation of Cells and Tissues,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIDISCIPLINARY; MULTIPLE DISEASE RELEVANCE; NOT CLASSIFIED; BIOPHYSICS,3/1/2013,2014-02-28,0,"Cryobiology, Preservation, Cells"
"Elliott, Janet A",University of Alberta,Alberta,Operating Grant - PA: INMHA (bridge funding),201303INO,Biomedical Engineering,Cryobiology and Preservation of Cells and Tissues,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIDISCIPLINARY; MULTIPLE DISEASE RELEVANCE; NOT CLASSIFIED; BIOPHYSICS,4/1/2014,2019-03-31,0,"Cryobiology, Preservation, Cells"
"Elliott, Janet A",University of Alberta,Alberta,Project Grant,201803PJT,Biomedical Engineering,Cryobiology of Cardiomyocytes and Engineered Living Cardiac Tissue,"$711,450 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Cardiovascular, Respiratory and Circulatory Systems-Cardiovascular and Circulatory Sciences",10/1/2018,2023-09-30,1,"Cryobiology, Cardiomyocytes, Cardiac tissue"
"Nielsen, Torsten O",University of British Columbia,British Columbia,Operating Grant,201003MOP,Cancer Progression & Therapeutics 2,CSF1 pathway inhibitors in tenosynovial giant cell tumors and leiomyosarcoma,"$289,885 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,MUSCULO SKELETAL; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,10/1/2010,2013-09-30,0,"CSF1, pathway inhibitors, giant cell tumors"
"Minden, Mark D",University Health Network (Toronto),Ontario,Operating Grant,201109MOP,Cancer Progression & Therapeutics 2,CSF1R as a therapeutic target in Acute Myeloid Leukemia,"$361,800 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,LEUKAEMIAS; CANCER THERAPY GENERAL; CANCER; BLOOD,4/1/2012,2015-03-31,0,"CSF1R, Acute Myeloid Leukemia, therapeutic target"
"Devereaux, Philip J",McMaster University,Ontario,Operating Grant,200903MOP,Medical Physics & Imaging,CT Angiography Prediction of Vascular events In noncardiac Surgery patients cOhort evaluatioN (CTA-VISION),"$467,247 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; CORONARY CIRCULATION (INCL. INSUFFICIENCY); HEALTH RESEARCH; IMAGING,10/1/2009,2012-09-30,0,"CT, Angiography, Vascular"
"Haglund, Lisbet A",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202203PJT,Biomedical Engineering,"Curve progression, tissue remodelling and disease-modifying drugs in idiopathic scoliosis.","$784,126 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Musculoskeletal Health-Bone, Skin and Cartilage Sciences; Youth Health-Prevention, Treatment and Support",10/1/2022,2027-09-30,0,"curve, tissue remodelling, scoliosis"
"McElwee, Kevin J",University of British Columbia,British Columbia,Operating Grant: Fall 2008 Priority Announcement (IMHA),200809MUS,Cancer Biology & Therapeutics,CXC chemokines in basal cell carcinomas,"$84,507 ", $-   , $-   ,,1 yr 0 mth ,Musculoskeletal Health and Arthritis,SKIN AND SUBCUTANEOUS TISSUS; NEOPLASMS; CANCER; CELL BIOLOGY,1/1/2009,2009-12-31,0,"CXC chemokines, basal cell carcinoma"
"Steidl, Christian",University of British Columbia,British Columbia,Project Grant,202309PJT,Cancer Progression & Therapeutics,Cytokine receptor common beta chain alterations in mediastinal lymphomas,"$1,048,050 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Progression and Metastasis; Molecular, Cellular and Systems Biology-Cell Signaling; Genetics-Genomics, Transcriptomics and Proteomics",4/1/2024,2029-03-31,0,"cytokine receptor, beta chain, lymphomas"
"Thornton, Gail M",University of Calgary,Alberta,"Operating Grant - PA: Musculoskeletal Health, Arthritis, Skin and Oral Health",200809IMH,Biomedical Engineering,Damage Mechanics and Mechanisms in Ligament and Tendon,"$73,019 ", $-   , $-   ,,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; AGING; MUSCLE, BONE, OR JOINT",1/1/2009,2009-12-31,0,"Damage, Mechanics, Ligament"
"Rakovitch, Eileen","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant,201709PJT,Cancer Biology & Therapeutics 2,DCIS-Precise: A Genomics-Driven Model for Predicting DCIS Response to Radiation,"$910,352 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology,4/1/2018,2022-03-31,0,"DCIS, Genomics, Radiation"
"Garnis, Cathie",University of British Columbia,British Columbia,Operating Grant,201003MOP,Cancer Progression & Therapeutics,Deciphering and reconstituting genetic events in oral cancer progression,"$484,436 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,NEOPLASMS; MOLECULAR BIOLOGY; CANCER,10/1/2010,2014-09-30,0,"genetic, oral cancer, reconstitution"
"Diamandis, Phedias",University Health Network (Toronto),Ontario,Project Grant,202309PJT,Cancer Progression & Therapeutics 2,Deciphering communication networks across glioblastoma cell states,"$761,176 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,"Molecular, Cellular and Systems Biology-Molecular Biology",4/1/2024,2028-03-31,0,"communication, networks, glioblastoma"
"Lerch, Jason P",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201203MOP,Medical Physics & Imaging,Deciphering the bases of sex differences in the brain and their role in psychiatric disorders,"$779,591 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",MENTAL AND BEHAVIOURAL DISEASES; ENDOCRINOLOGY; NERVOUS SYSTEM; IMAGING,10/1/2012,2017-09-30,0,"sex differences, brain, psychiatric disorders"
"Nelson, Brad H",University of British Columbia,British Columbia,Project Grant,202209PJT,Cancer Biology & Therapeutics,Deciphering the Hottest Immune Neighbourhoods in Ovarian Cancer to Advance Immunotherapy,"$983,025 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology",4/1/2023,2028-03-31,0,"immune, ovarian, immunotherapy"
"McGuigan, Alison P",University of Toronto,Ontario,Project Grant,202010PJT,Cancer Biology & Therapeutics 2,Deciphering the impact of genetic and microenvironmental variation on pancreatic ductal adenocarcinoma (PDAC) cell phenotype and response to therapy,"$669,375 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Cancer-Cancer Drug Development and Therapeutics; Genetics-Molecular and Functional Genetics and Epigenetics,4/1/2021,2026-03-31,0,"genetic, microenvironmental, pancreatic ductal adenocarcinoma"
"Stagg, John",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Project Grant,202309PJT,Cancer Biology & Therapeutics,Deciphering the role of protease-activated receptor 2 in immuno-oncology,"$1,013,625 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2024,2029-03-31,0,"protease-activated receptor, immuno-oncology, receptor"
"Gevry, Nicolas",Universite de Sherbrooke,Quebec,Project Grant,201803PJT,Cancer Biology & Therapeutics 2,Deciphering the role of the nuclear receptor LRH-1 in the establishment of a specific transcriptional program in triple negative breast cancer.,"$868,276 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Molecular, Cellular and Systems Biology-Molecular Biology; Cancer-Mechanisms of Carcinogenesis; Genetics-Genomics, Transcriptomics and Proteomics",10/1/2018,2023-09-30,0,"nuclear receptor, LRH-1, breast cancer"
"Haigh, Jody J",University of Manitoba,Manitoba,Project Grant,202403PJT,Cancer Progression & Therapeutics,Deciphering the Role of ZEB2 transcription factor in B cell Ontogeny and Transformation.,"$1,071,000 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Pediatric Cancer; Genetics-Genomics, Transcriptomics and Proteomics; Cancer-Cancer Drug Development and Therapeutics",10/1/2024,2029-09-30,0,"ZEB2, transcription factor, B cell"
"Anglesio, Michael S",University of British Columbia,British Columbia,Project Grant,202209PJT,Cancer Progression & Therapeutics,Deconvoluting Prognostic and Targetable Features of Endometrioid Ovarian Carcinomas of No Specific Molecular Profile,"$646,424 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Mechanisms of Carcinogenesis; Reproduction and Development-Reproductive Sciences,4/1/2023,2026-03-31,0,"Deconvoluting, Prognostic, Ovarian Carcinomas"
"Lapointe, Rejean",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Vaccines of the 21st Century,200903CVC,Catalyst Grant: Vaccines of the 21st Century,Defining innovating cancer vaccine based on virus-like particles by targeting multiple antigens,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,CANCER THERAPY GENERAL; SKIN AND SUBCUTANEOUS TISSUS; IMMUNOLOGY-TRANSPLANTATION; CANCER,10/1/2009,2010-09-30,2,"cancer vaccine, virus-like particles, antigens"
"Watson, Ian R",McGill University,Quebec,Project Grant,202109PJT,Cancer Progression & Therapeutics,Defining the distinct roles of MAPK pathway mutations in immune and targeted therapy response in melanoma,"$990,675 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Molecular, Cellular and Systems Biology-Cell Signaling",4/1/2022,2027-03-31,0,"MAPK, mutations, melanoma"
"Siegel, Peter M",McGill University,Quebec,Project Grant,202209PJT,Cancer Biology & Therapeutics,Defining the Immunomodulatory Role of GPNMB in Triple Negative Breast Cancer,"$994,500 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,4/1/2023,2028-03-31,0,"GPNMB, Immunomodulatory, Breast Cancer"
"Marcato, Paola",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,201809PJT,Cancer Biology & Therapeutics 2,Defining the mechanism of ALDH1A3 in breast cancer for the identification of novel therapeutic targets,"$918,000 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,4/1/2019,2024-03-31,0,"ALDH1A3, breast cancer, therapeutic targets"
"Ursini-Siegel, Giuseppina",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,201503MOP,Cancer Progression & Therapeutics 2,Defining the mechanisms and therapeutic potential of ShcA-mediated angiogenesis and metabolism that fuel breast tumorigenesis,"$817,643 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,BREAST CANCER; NEOPLASMS; CANCER; MOLECULAR BIOLOGY,7/1/2015,2020-06-30,0,"ShcA, angiogenesis, tumorigenesis"
"Ursini-Siegel, Giuseppina",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,201309MOP,Cancer Progression & Therapeutics,Defining the Molecular Mechanisms and Clinical Implications of p66ShcA as a Driver of the Epithelial to Mesenchymal Transition in Breast Cancer,"$685,520 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,BREAST CANCER; NEOPLASMS; CANCER; MOLECULAR BIOLOGY,4/1/2014,2019-03-31,0,"p66ShcA, Epithelial to Mesenchymal Transition, Breast Cancer"
"Pin, Christopher L",Western University (Ontario),Ontario,Project Grant,201903PJT,Cancer Biology & Therapeutics 2,Defining the role for ATF3 in recurrent pancreatic injury and PDAC,"$761,176 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Mechanisms of Carcinogenesis; Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology",10/1/2019,2024-09-30,0,"ATF3, pancreatic injury, PDAC"
"Benoit, Yannick D",University of Ottawa,Ontario,Project Grant,202309PJT,Cancer Biology & Therapeutics 2,Defining the role of dopamine transporter in the hierarchical organization of colorectal tumors,"$1,086,300 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics; Cancer-Mechanisms of Carcinogenesis,4/1/2024,2029-03-31,0,"dopamine transporter, colorectal tumors"
"Richard, Stephane",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,201309MOP,Cancer Biology & Therapeutics,Defining the role of protein arginine methyltransferases (PRMTs) and RGG/RG motifs in cancer and in the maintenance of genomic stability.,"$967,960 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; LEUKAEMIAS; CANCER; MOLECULAR BIOLOGY,4/1/2014,2017-06-30,0,"protein arginine methyltransferases, RGG/RG motifs, genomic stability"
